index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance,
238,38,32,300,4,4,2.24,13,0.8,0.000268,0.655,1060,
239,38,32,300,4,4,2.24,13,0.8,0.000268,0.663,1070,
240,38,32,300,4,4,2.24,13,0.8,0.000268,0.666,1080,
241,38,32,300,4,4,2.24,13,0.8,0.000268,0.668,1080,
242,38,32,300,4,4,2.24,13,0.8,0.000268,0.67,1080,
243,38,32,300,4,4,2.24,13,0.8,0.000268,0.67,1080,
244,38,32,300,4,4,2.24,13,0.8,0.000268,0.708,1140,
245,38,32,300,4,4,2.24,13,0.8,0.000268,1.59,1250,
246,38,32,300,4,4,2.24,13,0.8,0.000268,1.84,1310,
247,38,32,300,4,4,2.24,13,0.8,0.000268,2.37,1310,
248,16,32,260,3,4,0.91,15,0.6,0.000268,0.0018166,4.16,
249,16,32,260,3,4,0.91,15,0.6,0.000268,0.003566,8.32,
250,16,32,260,3,4,0.91,15,0.6,0.000268,0.0042452,12.5,
251,16,32,260,3,4,0.91,15,0.6,0.000268,0.0070789,16.6,
252,16,32,260,3,4,0.91,15,0.6,0.000268,0.0088399,20.8,
253,16,32,260,3,4,0.91,15,0.6,0.000268,0.0084583,25,
254,16,32,260,3,4,0.91,15,0.6,0.000268,0.0098616,29.1,
255,16,32,260,3,4,0.91,15,0.6,0.000268,0.011266,33.3,
256,16,32,260,3,4,0.91,15,0.6,0.000268,0.014081,41.6,
257,16,32,260,3,4,0.91,15,0.6,0.000268,0.10447,83.2,
258,16,32,260,3,4,0.91,15,0.6,0.000268,0.1265,125,
259,16,32,260,3,4,0.91,15,0.6,0.000268,0.15987,166,
260,16,32,260,3,4,0.91,15,0.6,0.000268,0.25737,208,
261,16,32,260,3,4,0.91,15,0.6,0.000268,0.24981,250,
262,16,32,260,3,4,0.91,15,0.6,0.000268,0.29683,291,
263,16,32,260,3,4,0.91,15,0.6,0.000268,0.34253,333,
264,16,32,260,3,4,0.91,15,0.6,0.000268,0.48138,374,
265,16,32,260,3,4,0.91,15,0.6,0.000268,0.53875,416,
266,16,32,260,3,4,0.91,15,0.6,0.000268,0.5686,437,
267,16,32,260,3,4,0.91,15,0.6,0.000268,0.57741,443,
268,16,32,260,3,4,0.91,15,0.6,0.000268,1.0592,449,
269,16,32,260,3,4,0.91,15,0.6,0.000268,1.0867,458,
270,16,32,260,3,4,0.91,15,0.6,0.000268,1.751,458,
271,20,40,280,4,4,1.13,16,0.6,0.000268,0.00115,5.6,
272,20,40,280,4,4,1.13,16,0.6,0.000268,0.00281,11.2,
273,20,40,280,4,4,1.13,16,0.6,0.000268,0.00336,16.8,
274,20,40,280,4,4,1.13,16,0.6,0.000268,0.00557,28,
275,20,40,280,4,4,1.13,16,0.6,0.000268,0.00668,33.6,
276,20,40,280,4,4,1.13,16,0.6,0.000268,0.0089,44.8,
277,20,40,280,4,4,1.13,16,0.6,0.000268,0.0111,56,
278,20,40,280,4,4,1.13,16,0.6,0.000268,0.0134,67.2,
279,20,40,280,4,4,1.13,16,0.6,0.000268,0.0178,89.6,
280,20,40,280,4,4,1.13,16,0.6,0.000268,0.02,101,
281,20,40,280,4,4,1.13,16,0.6,0.000268,0.0211,106,
282,20,40,280,4,4,1.13,16,0.6,0.000268,0.0578,112,
283,20,40,280,4,4,1.13,16,0.6,0.000268,0.113,168,
284,20,40,280,4,4,1.13,16,0.6,0.000268,0.172,280,
285,20,40,280,4,4,1.13,16,0.6,0.000268,0.172,392,
286,20,40,280,4,4,1.13,16,0.6,0.000268,0.296,504,
287,20,40,280,4,4,1.13,16,0.6,0.000268,0.292,560,
288,20,40,280,4,4,1.13,16,0.6,0.000268,0.45,672,
289,20,40,280,4,4,1.13,16,0.6,0.000268,0.531,784,
290,20,40,280,4,4,1.13,16,0.6,0.000268,0.613,812,
291,20,40,280,4,4,1.13,16,0.6,0.000268,1.03,896,
292,20,40,280,4,4,1.13,16,0.6,0.000268,1.43,952,
293,20,40,280,4,4,1.13,16,0.6,0.000268,1.87,952,
294,20,25,260,3,4,0.9,15,0.9,0.000268,0.0075985,10.4,
295,20,25,260,3,4,0.9,15,0.9,0.000268,0.011401,15.6,
296,20,25,260,3,4,0.9,15,0.9,0.000268,0.014154,20.8,
297,20,25,260,3,4,0.9,15,0.9,0.000268,0.017691,26,
298,20,25,260,3,4,0.9,15,0.9,0.000268,0.019274,33.8,
299,20,25,260,3,4,0.9,15,0.9,0.000268,0.02476,36.4,
300,20,25,260,3,4,0.9,15,0.9,0.000268,0.066298,41.6,
301,20,25,260,3,4,0.9,15,0.9,0.000268,0.080186,52,
302,20,25,260,3,4,0.9,15,0.9,0.000268,0.24338,156,
303,20,25,260,3,4,0.9,15,0.9,0.000268,0.33359,208,
304,20,25,260,3,4,0.9,15,0.9,0.000268,0.42365,260,
305,20,25,260,3,4,0.9,15,0.9,0.000268,0.51488,286,
306,20,25,260,3,4,0.9,15,0.9,0.000268,0.54485,302,
307,20,25,260,3,4,0.9,15,0.9,0.000268,0.56467,312,
308,20,25,260,3,4,0.9,15,0.9,0.000268,1.124,322,
309,20,25,260,3,4,0.9,15,0.9,0.000268,1.3141,338,
310,20,25,260,3,4,0.9,15,0.9,0.000268,1.3288,354,
311,20,25,260,3,4,0.9,15,0.9,0.000268,1.7321,364,
