index,width,height,span,covering,num_longitude,diameter_longitude,num_hoop,diameter_hoop,concrete_stress,deflection,F_resistance
208.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0786,148.0
209.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.0928,171.0
210.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.141,228.0
211.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.175,342.0
212.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.33899999999999997,570.0
213.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.44299999999999995,798.0
214.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.633,1030.0
215.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.648,1050.0
216.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.655,1060.0
217.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.6629999999999999,1070.0
218.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.6659999999999999,1080.0
219.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.6679999999999999,1080.0
220.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.67,1080.0
221.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.67,1080.0
222.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,0.708,1140.0
223.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,1.59,1250.0
224.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,1.84,1310.0
225.0,38.0,32.0,300.0,4.0,4.0,2.24,13.0,0.8,0.000268,2.37,1310.0
226.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0018166,4.16
227.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0035659999999999997,8.32
228.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0042452,12.5
229.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0070789,16.6
230.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0088399,20.8
231.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0084583,25.0
232.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.0098616,29.1
233.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.011266,33.3
234.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.014081,41.6
235.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.10447000000000001,83.2
236.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.1265,125.0
237.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.15987,166.0
238.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.25737,208.0
239.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.24981,250.0
240.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.29683000000000004,291.0
241.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.34253,333.0
242.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.48138000000000003,374.0
243.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.53875,416.0
244.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.5686,437.0
245.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,0.5774100000000001,443.0
246.0,16.0,32.0,260.0,3.0,4.0,0.91,15.0,0.6,0.000268,1.0592,449.0
